package_name,version_latest,author,license,summary,keywords,requires_python,dependency_count,home_page,classifiers,total_versions,first_release_date,latest_release_date
metagpt,0.8.2,Alexander Wu,MIT,The Multi-Agent Framework,metagpt multi-agent multi-role programming gpt llm metaprogramming,"<3.12,>=3.9",148,https://github.com/geekan/MetaGPT,,30,2023-07-13,0.8.2
mistralai,2.1.2,Mistral,,Python Client SDK for the Mistral AI API.,,>=3.10,13,,,71,2024-01-15,2.1.2
mlflow,3.10.1,,"Copyright 2018 Databricks, Inc.  All rights reserved.
        
        				Apache License
                                   Version 2.0, January 2004
                                http://www.apache.org/licenses/
        
           TERMS AND CONDITIONS FOR USE, REPRODUCTION, AND DISTRIBUTION
        
           1. Definitions.
        
              ""License"" shall mean the terms and conditions for use, reproduction,
              and distribution as defined by Sections 1 through 9 of this document.
        
              ""Licensor"" shall mean the copyright owner or entity authorized by
              the copyright owner that is granting the License.
        
              ""Legal Entity"" shall mean the union of the acting entity and all
              other entities that control, are controlled by, or are under common
              control with that entity. For the purposes of this definition,
              ""control"" means (i) the power, direct or indirect, to cause the
              direction or management of such entity, whether by contract or
              otherwise, or (ii) ownership of fifty percent (50%) or more of the
              outstanding shares, or (iii) beneficial ownership of such entity.
        
              ""You"" (or ""Your"") shall mean an individual or Legal Entity
              exercising permissions granted by this License.
        
              ""Source"" form shall mean the preferred form for making modifications,
              including but not limited to software source code, documentation
              source, and configuration files.
        
              ""Object"" form shall mean any form resulting from mechanical
              transformation or translation of a Source form, including but
              not limited to compiled object code, generated documentation,
              and conversions to other media types.
        
              ""Work"" shall mean the work of authorship, whether in Source or
              Object form, made available under the License, as indicated by a
              copyright notice that is included in or attached to the work
              (an example is provided in the Appendix below).
        
              ""Derivative Works"" shall mean any work, whether in Source or Object
              form, that is based on (or derived from) the Work and for which the
              editorial revisions, annotations, elaborations, or other modifications
              represent, as a whole, an original work of authorship. For the purposes
              of this License, Derivative Works shall not include works that remain
              separable from, or merely link (or bind by name) to the interfaces of,
              the Work and Derivative Works thereof.
        
              ""Contribution"" shall mean any work of authorship, including
              the original version of the Work and any modifications or additions
              to that Work or Derivative Works thereof, that is intentionally
              submitted to Licensor for inclusion in the Work by the copyright owner
              or by an individual or Legal Entity authorized to submit on behalf of
              the copyright owner. For the purposes of this definition, ""submitted""
              means any form of electronic, verbal, or written communication sent
              to the Licensor or its representatives, including but not limited to
              communication on electronic mailing lists, source code control systems,
              and issue tracking systems that are managed by, or on behalf of, the
              Licensor for the purpose of discussing and improving the Work, but
              excluding communication that is conspicuously marked or otherwise
              designated in writing by the copyright owner as ""Not a Contribution.""
        
              ""Contributor"" shall mean Licensor and any individual or Legal Entity
              on behalf of whom a Contribution has been received by Licensor and
              subsequently incorporated within the Work.
        
           2. Grant of Copyright License. Subject to the terms and conditions of
              this License, each Contributor hereby grants to You a perpetual,
              worldwide, non-exclusive, no-charge, royalty-free, irrevocable
              copyright license to reproduce, prepare Derivative Works of,
              publicly display, publicly perform, sublicense, and distribute the
              Work and such Derivative Works in Source or Object form.
        
           3. Grant of Patent License. Subject to the terms and conditions of
              this License, each Contributor hereby grants to You a perpetual,
              worldwide, non-exclusive, no-charge, royalty-free, irrevocable
              (except as stated in this section) patent license to make, have made,
              use, offer to sell, sell, import, and otherwise transfer the Work,
              where such license applies only to those patent claims licensable
              by such Contributor that are necessarily infringed by their
              Contribution(s) alone or by combination of their Contribution(s)
              with the Work to which such Contribution(s) was submitted. If You
              institute patent litigation against any entity (including a
              cross-claim or counterclaim in a lawsuit) alleging that the Work
              or a Contribution incorporated within the Work constitutes direct
              or contributory patent infringement, then any patent licenses
              granted to You under this License for that Work shall terminate
              as of the date such litigation is filed.
        
           4. Redistribution. You may reproduce and distribute copies of the
              Work or Derivative Works thereof in any medium, with or without
              modifications, and in Source or Object form, provided that You
              meet the following conditions:
        
              (a) You must give any other recipients of the Work or
                  Derivative Works a copy of this License; and
        
              (b) You must cause any modified files to carry prominent notices
                  stating that You changed the files; and
        
              (c) You must retain, in the Source form of any Derivative Works
                  that You distribute, all copyright, patent, trademark, and
                  attribution notices from the Source form of the Work,
                  excluding those notices that do not pertain to any part of
                  the Derivative Works; and
        
              (d) If the Work includes a ""NOTICE"" text file as part of its
                  distribution, then any Derivative Works that You distribute must
                  include a readable copy of the attribution notices contained
                  within such NOTICE file, excluding those notices that do not
                  pertain to any part of the Derivative Works, in at least one
                  of the following places: within a NOTICE text file distributed
                  as part of the Derivative Works; within the Source form or
                  documentation, if provided along with the Derivative Works; or,
                  within a display generated by the Derivative Works, if and
                  wherever such third-party notices normally appear. The contents
                  of the NOTICE file are for informational purposes only and
                  do not modify the License. You may add Your own attribution
                  notices within Derivative Works that You distribute, alongside
                  or as an addendum to the NOTICE text from the Work, provided
                  that such additional attribution notices cannot be construed
                  as modifying the License.
        
              You may add Your own copyright statement to Your modifications and
              may provide additional or different license terms and conditions
              for use, reproduction, or distribution of Your modifications, or
              for any such Derivative Works as a whole, provided Your use,
              reproduction, and distribution of the Work otherwise complies with
              the conditions stated in this License.
        
           5. Submission of Contributions. Unless You explicitly state otherwise,
              any Contribution intentionally submitted for inclusion in the Work
              by You to the Licensor shall be under the terms and conditions of
              this License, without any additional terms or conditions.
              Notwithstanding the above, nothing herein shall supersede or modify
              the terms of any separate license agreement you may have executed
              with Licensor regarding such Contributions.
        
           6. Trademarks. This License does not grant permission to use the trade
              names, trademarks, service marks, or product names of the Licensor,
              except as required for reasonable and customary use in describing the
              origin of the Work and reproducing the content of the NOTICE file.
        
           7. Disclaimer of Warranty. Unless required by applicable law or
              agreed to in writing, Licensor provides the Work (and each
              Contributor provides its Contributions) on an ""AS IS"" BASIS,
              WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or
              implied, including, without limitation, any warranties or conditions
              of TITLE, NON-INFRINGEMENT, MERCHANTABILITY, or FITNESS FOR A
              PARTICULAR PURPOSE. You are solely responsible for determining the
              appropriateness of using or redistributing the Work and assume any
              risks associated with Your exercise of permissions under this License.
        
           8. Limitation of Liability. In no event and under no legal theory,
              whether in tort (including negligence), contract, or otherwise,
              unless required by applicable law (such as deliberate and grossly
              negligent acts) or agreed to in writing, shall any Contributor be
              liable to You for damages, including any direct, indirect, special,
              incidental, or consequential damages of any character arising as a
              result of this License or out of the use or inability to use the
              Work (including but not limited to damages for loss of goodwill,
              work stoppage, computer failure or malfunction, or any and all
              other commercial damages or losses), even if such Contributor
              has been advised of the possibility of such damages.
        
           9. Accepting Warranty or Additional Liability. While redistributing
              the Work or Derivative Works thereof, You may choose to offer,
              and charge a fee for, acceptance of support, warranty, indemnity,
              or other liability obligations and/or rights consistent with this
              License. However, in accepting such obligations, You may act only
              on Your own behalf and on Your sole responsibility, not on behalf
              of any other Contributor, and only if You agree to indemnify,
              defend, and hold each Contributor harmless for any liability
              incurred by, or claims asserted against, such Contributor by reason
              of your accepting any such warranty or additional liability.
        
           END OF TERMS AND CONDITIONS
           APPENDIX: How to apply the Apache License to your work.
        
              To apply the Apache License to your work, attach the following
              boilerplate notice, with the fields enclosed by brackets ""[]""
              replaced with your own identifying information. (Don't include
              the brackets!)  The text should be enclosed in the appropriate
              comment syntax for the file format. We also recommend that a
              file or class name and description of purpose be included on the
              same ""printed page"" as the copyright notice for easier
              identification within third-party archives.
        
           Copyright [yyyy] [name of copyright owner]
        
           Licensed under the Apache License, Version 2.0 (the ""License"");
           you may not use this file except in compliance with the License.
           You may obtain a copy of the License at
        
               http://www.apache.org/licenses/LICENSE-2.0
        
           Unless required by applicable law or agreed to in writing, software
           distributed under the License is distributed on an ""AS IS"" BASIS,
           WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
           See the License for the specific language governing permissions and
           limitations under the License.
        ",MLflow is an open source platform for the complete machine learning lifecycle,"mlflow, ai, databricks",>=3.10,61,,Development Status :: 5 - Production/Stable|Intended Audience :: Developers|Intended Audience :: End Users/Desktop|Intended Audience :: Information Technology|Intended Audience :: Science/Research|License :: OSI Approved :: Apache Software License|Operating System :: OS Independent|Programming Language :: Python :: 3.10|Topic :: Scientific/Engineering :: Artificial Intelligence|Topic :: Software Development :: Libraries :: Python Modules,173,2018-06-04,3.10.1
mlforecast,1.0.31,,Apache Software License 2.0,Scalable machine learning based time series forecasting,"python, forecast, forecasting, machine-learning, dask",>=3.10,8,https://github.com/Nixtla/mlforecast,Development Status :: 4 - Beta|Intended Audience :: Developers|License :: OSI Approved :: Apache Software License|Natural Language :: English|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.14,57,2021-04-27,1.0.31
modin,0.37.1,,Apache 2,Modin: Make your pandas code run faster by changing one line of code.,,>=3.9,19,https://github.com/modin-project/modin,,110,2018-06-24,0.37.1
nemo-toolkit,2.7.1,NVIDIA,"Apache License Version 2.0, January 2004 http://www.apache.org/licenses/  TERMS AND CONDITIONS FOR USE, REPRODUCTION, AND DISTRIBUTION  1. Definitions.  ""License"" shall mean the terms and conditions for use, reproduction, and distribution as defined by Sections 1 through 9 of this document.  ""Licensor"" shall mean the copyright owner or entity authorized by the copyright owner that is granting the License.  ""Legal Entity"" shall mean the union of the acting entity and all other entities that control, are controlled by, or are under common control with that entity. For the purposes of this definition, ""control"" means (i) the power, direct or indirect, to cause the direction or management of such entity, whether by contract or otherwise, or (ii) ownership of fifty percent (50%) or more of the outstanding shares, or (iii) beneficial ownership of such entity.  ""You"" (or ""Your"") shall mean an individual or Legal Entity exercising permissions granted by this License.  ""Source"" form shall mean the preferred form for making modifications, including but not limited to software source code, documentation source, and configuration files.  ""Object"" form shall mean any form resulting from mechanical transformation or translation of a Source form, including but not limited to compiled object code, generated documentation, and conversions to other media types.  ""Work"" shall mean the work of authorship, whether in Source or Object form, made available under the License, as indicated by a copyright notice that is included in or attached to the work (an example is provided in the Appendix below).  ""Derivative Works"" shall mean any work, whether in Source or Object form, that is based on (or derived from) the Work and for which the editorial revisions, annotations, elaborations, or other modifications represent, as a whole, an original work of authorship. For the purposes of this License, Derivative Works shall not include works that remain separable from, or merely link (or bind by name) to the interfaces of, the Work and Derivative Works thereof.  ""Contribution"" shall mean any work of authorship, including the original version of the Work and any modifications or additions to that Work or Derivative Works thereof, that is intentionally submitted to Licensor for inclusion in the Work by the copyright owner or by an individual or Legal Entity authorized to submit on behalf of the copyright owner. For the purposes of this definition, ""submitted"" means any form of electronic, verbal, or written communication sent to the Licensor or its representatives, including but not limited to communication on electronic mailing lists, source code control systems, and issue tracking systems that are managed by, or on behalf of, the Licensor for the purpose of discussing and improving the Work, but excluding communication that is conspicuously marked or otherwise designated in writing by the copyright owner as ""Not a Contribution.""  ""Contributor"" shall mean Licensor and any individual or Legal Entity on behalf of whom a Contribution has been received by Licensor and subsequently incorporated within the Work.  2. Grant of Copyright License. Subject to the terms and conditions of this License, each Contributor hereby grants to You a perpetual, worldwide, non-exclusive, no-charge, royalty-free, irrevocable copyright license to reproduce, prepare Derivative Works of, publicly display, publicly perform, sublicense, and distribute the Work and such Derivative Works in Source or Object form.  3. Grant of Patent License. Subject to the terms and conditions of this License, each Contributor hereby grants to You a perpetual, worldwide, non-exclusive, no-charge, royalty-free, irrevocable (except as stated in this section) patent license to make, have made, use, offer to sell, sell, import, and otherwise transfer the Work, where such license applies only to those patent claims licensable by such Contributor that are necessarily infringed by their Contribution(s) alone or by combination of their Contribution(s) with the Work to which such Contribution(s) was submitted. If You institute patent litigation against any entity (including a cross-claim or counterclaim in a lawsuit) alleging that the Work or a Contribution incorporated within the Work constitutes direct or contributory patent infringement, then any patent licenses granted to You under this License for that Work shall terminate as of the date such litigation is filed.  4. Redistribution. You may reproduce and distribute copies of the Work or Derivative Works thereof in any medium, with or without modifications, and in Source or Object form, provided that You meet the following conditions:  (a) You must give any other recipients of the Work or Derivative Works a copy of this License; and  (b) You must cause any modified files to carry prominent notices stating that You changed the files; and  (c) You must retain, in the Source form of any Derivative Works that You distribute, all copyright, patent, trademark, and attribution notices from the Source form of the Work, excluding those notices that do not pertain to any part of the Derivative Works; and  (d) If the Work includes a ""NOTICE"" text file as part of its distribution, then any Derivative Works that You distribute must include a readable copy of the attribution notices contained within such NOTICE file, excluding those notices that do not pertain to any part of the Derivative Works, in at least one of the following places: within a NOTICE text file distributed as part of the Derivative Works; within the Source form or documentation, if provided along with the Derivative Works; or, within a display generated by the Derivative Works, if and wherever such third-party notices normally appear. The contents of the NOTICE file are for informational purposes only and do not modify the License. You may add Your own attribution notices within Derivative Works that You distribute, alongside or as an addendum to the NOTICE text from the Work, provided that such additional attribution notices cannot be construed as modifying the License.  You may add Your own copyright statement to Your modifications and may provide additional or different license terms and conditions for use, reproduction, or distribution of Your modifications, or for any such Derivative Works as a whole, provided Your use, reproduction, and distribution of the Work otherwise complies with the conditions stated in this License.  5. Submission of Contributions. Unless You explicitly state otherwise, any Contribution intentionally submitted for inclusion in the Work by You to the Licensor shall be under the terms and conditions of this License, without any additional terms or conditions. Notwithstanding the above, nothing herein shall supersede or modify the terms of any separate license agreement you may have executed with Licensor regarding such Contributions.  6. Trademarks. This License does not grant permission to use the trade names, trademarks, service marks, or product names of the Licensor, except as required for reasonable and customary use in describing the origin of the Work and reproducing the content of the NOTICE file.  7. Disclaimer of Warranty. Unless required by applicable law or agreed to in writing, Licensor provides the Work (and each Contributor provides its Contributions) on an ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied, including, without limitation, any warranties or conditions of TITLE, NON-INFRINGEMENT, MERCHANTABILITY, or FITNESS FOR A PARTICULAR PURPOSE. You are solely responsible for determining the appropriateness of using or redistributing the Work and assume any risks associated with Your exercise of permissions under this License.  8. Limitation of Liability. In no event and under no legal theory, whether in tort (including negligence), contract, or otherwise, unless required by applicable law (such as deliberate and grossly negligent acts) or agreed to in writing, shall any Contributor be liable to You for damages, including any direct, indirect, special, incidental, or consequential damages of any character arising as a result of this License or out of the use or inability to use the Work (including but not limited to damages for loss of goodwill, work stoppage, computer failure or malfunction, or any and all other commercial damages or losses), even if such Contributor has been advised of the possibility of such damages.  9. Accepting Warranty or Additional Liability. While redistributing the Work or Derivative Works thereof, You may choose to offer, and charge a fee for, acceptance of support, warranty, indemnity, or other liability obligations and/or rights consistent with this License. However, in accepting such obligations, You may act only on Your own behalf and on Your sole responsibility, not on behalf of any other Contributor, and only if You agree to indemnify, defend, and hold each Contributor harmless for any liability incurred by, or claims asserted against, such Contributor by reason of your accepting any such warranty or additional liability.  END OF TERMS AND CONDITIONS  APPENDIX: How to apply the Apache License to your work.  To apply the Apache License to your work, attach the following boilerplate notice, with the fields enclosed by brackets ""[]"" replaced with your own identifying information. (Don't include the brackets!)  The text should be enclosed in the appropriate comment syntax for the file format. We also recommend that a file or class name and description of purpose be included on the same ""printed page"" as the copyright notice for easier identification within third-party archives.  Copyright [yyyy] [name of copyright owner]  Licensed under the Apache License, Version 2.0 (the ""License""); you may not use this file except in compliance with the License. You may obtain a copy of the License at  http://www.apache.org/licenses/LICENSE-2.0  Unless required by applicable law or agreed to in writing, software distributed under the License is distributed on an ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the specific language governing permissions and limitations under the License.",NeMo - a toolkit for Conversational AI,"NLP, NeMo, deep, gpu, language, learning, learning, machine, nvidia, pytorch, speech, torch, tts",>=3.10,708,https://github.com/nvidia/nemo,Development Status :: 5 - Production/Stable|Environment :: Console|Intended Audience :: Developers|Intended Audience :: Information Technology|Intended Audience :: Science/Research|License :: OSI Approved :: Apache Software License|Natural Language :: English|Operating System :: OS Independent|Programming Language :: Python :: 3|Programming Language :: Python :: 3.10|Topic :: Scientific/Engineering|Topic :: Scientific/Engineering :: Artificial Intelligence|Topic :: Scientific/Engineering :: Image Recognition|Topic :: Scientific/Engineering :: Mathematics|Topic :: Software Development :: Libraries|Topic :: Software Development :: Libraries :: Python Modules|Topic :: Utilities,106,2020-04-02,2.7.1
networkx,3.6.1,,,Python package for creating and manipulating graphs and networks,"Networks, Graph Theory, Mathematics, network, graph, discrete mathematics, math","!=3.14.1,>=3.11",37,https://networkx.org/,Development Status :: 5 - Production/Stable|Intended Audience :: Developers|Intended Audience :: Science/Research|Operating System :: OS Independent|Programming Language :: Python :: 3|Programming Language :: Python :: 3 :: Only|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.14|Topic :: Scientific/Engineering :: Bio-Informatics|Topic :: Scientific/Engineering :: Information Analysis|Topic :: Scientific/Engineering :: Mathematics|Topic :: Scientific/Engineering :: Physics|Topic :: Software Development :: Libraries :: Python Modules,96,2007-04-13,3.6.1
neural-compressor,3.7.1,Intel AIPT Team,Apache 2.0,Repository of Intel® Neural Compressor,"quantization, auto-tuning, post-training static quantization, post-training dynamic quantization, quantization-aware training",>=3.7.0,25,https://github.com/intel/neural-compressor,Intended Audience :: Science/Research|License :: OSI Approved :: Apache Software License|Programming Language :: Python :: 3|Topic :: Scientific/Engineering :: Artificial Intelligence,44,2021-09-26,3.7.1
neuralprophet,0.9.0,Oskar Triebe,MIT,NeuralProphet is an easy to learn framework for interpretable time series forecasting.,,"<=3.12,>=3.9",14,https://github.com/ourownstory/neural_prophet,Development Status :: 4 - Beta|License :: OSI Approved :: MIT License|Natural Language :: English|Operating System :: MacOS :: MacOS X|Operating System :: OS Independent|Operating System :: POSIX :: Linux|Programming Language :: Python :: 3|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.9,33,2020-12-04,0.9.0
nixtla,0.7.3,Nixtla,Apache Software License 2.0,Python SDK for Nixtla API (TimeGPT),"time-series, forecasting, gpt",>=3.10,49,https://github.com/Nixtla/nixtla/,Development Status :: 4 - Beta|Intended Audience :: Developers|License :: OSI Approved :: Apache Software License|Natural Language :: English|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13,22,2023-10-07,0.7.3
nltk,3.9.3,NLTK Team,"Apache License, Version 2.0",Natural Language Toolkit,"NLP, CL, natural language processing, computational linguistics, parsing, tagging, tokenizing, syntax, linguistics, language, natural language, text analytics",>=3.10,20,https://www.nltk.org/,Development Status :: 5 - Production/Stable|Intended Audience :: Developers|Intended Audience :: Education|Intended Audience :: Information Technology|Intended Audience :: Science/Research|License :: OSI Approved :: Apache Software License|Operating System :: OS Independent|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.14|Topic :: Scientific/Engineering|Topic :: Scientific/Engineering :: Artificial Intelligence|Topic :: Scientific/Engineering :: Human Machine Interfaces|Topic :: Scientific/Engineering :: Information Analysis|Topic :: Text Processing|Topic :: Text Processing :: Filters|Topic :: Text Processing :: General|Topic :: Text Processing :: Indexing|Topic :: Text Processing :: Linguistic,64,2012-05-15,3.9.3
nncf,3.0.0,Intel,,Neural Networks Compression Framework,"bert, classification, compression, hawq, mixed-precision-training, mmdetection, nas, nlp, object-detection, pruning, quantization, quantization-aware-training, semantic-segmentation, sparsity, transformers",>=3.10,17,https://github.com/openvinotoolkit/nncf,Operating System :: OS Independent|Programming Language :: Python :: 3,31,2020-07-28,3.0.0
nni,3.0,Microsoft NNI Team,MIT,Neural Network Intelligence project,,>=3.7,38,https://github.com/Microsoft/nni,License :: OSI Approved :: MIT License|Operating System :: MacOS :: MacOS X|Operating System :: Microsoft :: Windows :: Windows 10|Operating System :: POSIX :: Linux|Programming Language :: Python :: 3 :: Only|Topic :: Scientific/Engineering :: Artificial Intelligence,36,2019-07-23,3.0
nougat-ocr,0.1.17,Lukas Blecher,MIT,Nougat: Neural Optical Understanding for Academic Documents,,>=3.7,25,https://github.com/facebookresearch/nougat,Intended Audience :: Developers|Intended Audience :: Information Technology|Intended Audience :: Science/Research|License :: OSI Approved :: MIT License|Programming Language :: Python|Programming Language :: Python :: 3|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.7|Programming Language :: Python :: 3.8|Programming Language :: Python :: 3.9|Topic :: Scientific/Engineering :: Artificial Intelligence|Topic :: Software Development :: Libraries|Topic :: Software Development :: Libraries :: Python Modules,19,2023-08-22,0.1.17
numpy,2.4.3,Travis E. Oliphant et al.,,Fundamental package for array computing in Python,,>=3.11,0,,Development Status :: 5 - Production/Stable|Intended Audience :: Developers|Intended Audience :: Science/Research|Operating System :: MacOS|Operating System :: Microsoft :: Windows|Operating System :: POSIX|Operating System :: Unix|Programming Language :: C|Programming Language :: Python|Programming Language :: Python :: 3|Programming Language :: Python :: 3 :: Only|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.14|Programming Language :: Python :: Implementation :: CPython|Topic :: Scientific/Engineering|Topic :: Software Development|Typing :: Typed,143,2006-12-02,2.4.3
ollama,0.6.1,,,The official Python client for Ollama.,,>=3.8,2,,,34,2024-01-12,0.6.1
onnx,1.20.1,,,Open Neural Network Exchange,,>=3.10,5,https://onnx.ai/,Programming Language :: Python :: 3,46,2017-09-07,1.20.1
onnxruntime,1.24.4,Microsoft Corporation,MIT License,ONNX Runtime is a runtime accelerator for Machine Learning models,onnx machine learning,>=3.11,5,https://onnxruntime.ai,Development Status :: 5 - Production/Stable|Intended Audience :: Developers|License :: OSI Approved :: MIT License|Operating System :: MacOS|Operating System :: Microsoft :: Windows|Operating System :: POSIX :: Linux|Programming Language :: Python|Programming Language :: Python :: 3 :: Only|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.14|Topic :: Scientific/Engineering|Topic :: Scientific/Engineering :: Artificial Intelligence|Topic :: Scientific/Engineering :: Mathematics|Topic :: Software Development|Topic :: Software Development :: Libraries|Topic :: Software Development :: Libraries :: Python Modules,56,2018-09-21,1.24.4
open-clip-torch,3.3.0,"Gabriel Ilharco, Mitchell Wortsman, Romain Beaumont",MIT,Open reproduction of consastive language-image pretraining (CLIP) and related.,"pytorch, clip, image-text, language-image, multimodal",>=3.9,18,,Development Status :: 4 - Beta|Intended Audience :: Education|Intended Audience :: Science/Research|License :: OSI Approved :: MIT License|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.9|Topic :: Scientific/Engineering|Topic :: Scientific/Engineering :: Artificial Intelligence|Topic :: Software Development|Topic :: Software Development :: Libraries|Topic :: Software Development :: Libraries :: Python Modules,55,2022-04-04,3.3.0
openai,2.29.0,,Apache-2.0,The official Python library for the openai API,,>=3.9,17,https://github.com/openai/openai-python,Intended Audience :: Developers|License :: OSI Approved :: Apache Software License|Operating System :: MacOS|Operating System :: Microsoft :: Windows|Operating System :: OS Independent|Operating System :: POSIX|Operating System :: POSIX :: Linux|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.14|Programming Language :: Python :: 3.9|Topic :: Software Development :: Libraries :: Python Modules|Typing :: Typed,381,2020-02-18,2.29.0
openai-whisper,20250625,OpenAI,MIT,Robust Speech Recognition via Large-Scale Weak Supervision,,>=3.8,12,https://github.com/openai/whisper,Programming Language :: Python :: 3 :: Only|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.8|Programming Language :: Python :: 3.9,13,2023-01-18,20250625
opencv-python,4.13.0.92,,Apache 2.0,Wrapper package for OpenCV python bindings.,,>=3.6,2,https://github.com/opencv/opencv-python,Development Status :: 5 - Production/Stable|Environment :: Console|Intended Audience :: Developers|Intended Audience :: Education|Intended Audience :: Information Technology|Intended Audience :: Science/Research|License :: OSI Approved :: Apache Software License|Operating System :: MacOS|Operating System :: Microsoft :: Windows|Operating System :: POSIX|Operating System :: Unix|Programming Language :: C++|Programming Language :: Python|Programming Language :: Python :: 3|Programming Language :: Python :: 3 :: Only|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.14|Programming Language :: Python :: 3.6|Programming Language :: Python :: 3.7|Programming Language :: Python :: 3.8|Programming Language :: Python :: 3.9|Programming Language :: Python :: Implementation :: CPython|Topic :: Scientific/Engineering|Topic :: Scientific/Engineering :: Image Recognition|Topic :: Software Development,62,2018-05-15,4.13.0.92
optax,0.2.8,,,A gradient processing and optimization library in JAX.,"python, machine learning, reinforcement-learning",>=3.10,19,,Development Status :: 4 - Beta|Environment :: Console|Intended Audience :: Developers|Intended Audience :: Science/Research|License :: OSI Approved :: Apache Software License|Operating System :: OS Independent|Programming Language :: Python|Programming Language :: Python :: 3|Topic :: Scientific/Engineering :: Artificial Intelligence|Topic :: Software Development :: Libraries :: Python Modules,26,2020-08-14,0.2.8
optuna,4.8.0,Takuya Akiba,,A hyperparameter optimization framework,,>=3.9,56,,Development Status :: 5 - Production/Stable|Intended Audience :: Developers|Intended Audience :: Science/Research|License :: OSI Approved :: MIT License|Programming Language :: Python :: 3|Programming Language :: Python :: 3 :: Only|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.14|Programming Language :: Python :: 3.9|Topic :: Scientific/Engineering|Topic :: Scientific/Engineering :: Artificial Intelligence|Topic :: Scientific/Engineering :: Mathematics|Topic :: Software Development|Topic :: Software Development :: Libraries|Topic :: Software Development :: Libraries :: Python Modules,76,2018-10-19,4.8.0
outlines,1.2.12,Outlines Developers,Apache-2.0,Probabilistic Generative Model Programming,"machine learning, deep learning, language models, structured generation","<3.14,>=3.10",73,,Development Status :: 5 - Production/Stable|Intended Audience :: Developers|Intended Audience :: Information Technology|Intended Audience :: Science/Research|Operating System :: OS Independent|Programming Language :: Python :: 3|Topic :: Scientific/Engineering :: Artificial Intelligence,79,2023-11-15,1.2.12
paddleocr,3.4.0,,Apache License 2.0,Awesome multilingual OCR and document parsing toolkits based on PaddlePaddle,"ocr, textdetection, textrecognition, paddleocr, chineseocr, pp-ocr, pp-structure, document-parsing, pdf2markdown, kie, pp-chatocr, document-translation, rag",>=3.8,8,,Intended Audience :: Developers|Natural Language :: Chinese (Simplified)|Operating System :: OS Independent|Programming Language :: Python :: 3|Topic :: Utilities,61,2025-05-20,3.4.0
paddlepaddle,3.3.0,,Apache Software License,Parallel Distributed Deep Learning,,,9,https://www.paddlepaddle.org.cn/,Development Status :: 5 - Production/Stable|Intended Audience :: Developers|Intended Audience :: Education|Intended Audience :: Science/Research|License :: OSI Approved :: Apache Software License|Operating System :: OS Independent|Programming Language :: C++|Programming Language :: Python :: 3.10|Programming Language :: Python :: 3.11|Programming Language :: Python :: 3.12|Programming Language :: Python :: 3.13|Programming Language :: Python :: 3.9|Typing :: Typed,13,2020-09-28,3.3.0
